Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
22644-9712,PG,Jose,Jose Calderon,Calderon,11,25,3800,CLE@SAC,CLE,SAC,0,0
22644-59483,PF,Chris,Chris McCullough,McCullough,6.109999847,10,3000,WAS@ATL,WAS,ATL,0,0
22644-12423,C,Omer,Omer Asik,Asik,4.755555471,9,3000,BKN@NO,NO,BKN,0,0
22644-66196,SG,PJ,PJ Dozier,Dozier,0,0,3000,TOR@OKC,OKC,TOR,0,0
22644-24247,PG,Fred,Fred VanVleet,VanVleet,15.12187481,32,3500,TOR@OKC,TOR,OKC,0,0
22644-81621,PF,Maxi,Maxi Kleber,Kleber,14.10689676,29,4000,DAL@IND,DAL,IND,0,0
22644-81623,SG,Kobi,Kobi Simmons,Simmons,9.766666412,6,3000,MEM@LAL,MEM,LAL,0,0
22644-58081,PG,Tyus,Tyus Jones,Jones,13.17058788,34,3400,DEN@MIN,MIN,DEN,0,0
22644-16183,SF,JaKarr,JaKarr Sampson,Sampson,14.16666667,6,3200,CLE@SAC,SAC,CLE,0,0
22644-9583,PG,Mario,Mario Chalmers,Chalmers,18.40000079,31,3600,MEM@LAL,MEM,LAL,0,0
22644-9613,SG,Devin,Devin Harris,Harris,16.02413835,29,3600,DAL@IND,DAL,IND,0,0
22644-9669,PF,Jason,Jason Smith,Smith,7.1,15,3000,WAS@ATL,WAS,ATL,0,0
22644-68090,SF,OG,OG Anunoby,Anunoby,12.890625,32,3600,TOR@OKC,TOR,OKC,0,0
22644-18435,PF,Alfonzo,Alfonzo McKinnie,McKinnie,2.611111111,9,3000,TOR@OKC,TOR,OKC,0,0
22644-9737,SG,Nick,Nick Young,Young,10.16250038,32,3300,UTA@GS,GS,UTA,0,0
22644-16906,PG,Julyan,Julyan Stone,Stone,7.175000191,4,3000,BOS@CHA,CHA,BOS,0,0
22644-58378,C,Jakob,Jakob Poeltl,Poeltl,17.140625,32,4200,TOR@OKC,TOR,OKC,0,0
22644-9739,C,JaVale,JaVale McGee,McGee,9.439285278,28,3200,UTA@GS,GS,UTA,0,0
22644-66061,SF,Dwayne,Dwayne Bacon,Bacon,9.07857132,28,3000,BOS@CHA,CHA,BOS,0,0
22644-64017,C,Salah,Salah Mejri,Mejri,12.46666667,30,3000,DAL@IND,DAL,IND,0,0
22644-66064,SG,Malik,Malik Beasley,Beasley,6.106451711,31,3200,DEN@MIN,DEN,MIN,0,0
22644-66091,PF,Cheick,Cheick Diallo,Diallo,5.5,18,3000,BKN@NO,NO,BKN,0,0
22644-37931,C,Aron,Aron Baynes,Baynes,14.8702706,37,3600,BOS@CHA,BOS,CHA,0,0
22644-12340,PF,Patrick,Patrick Patterson,Patterson,8.141176112,34,3200,TOR@OKC,OKC,TOR,0,0
22644-43064,PG,Kay,Kay Felder,Felder,7.057143075,14,3700,NY@CHI,CHI,NY,0,0
22644-23097,PG,Tomas,Tomas Satoransky,Satoransky,13.2,25,3700,WAS@ATL,WAS,ATL,0,0
22644-23612,SG,Marcus,Marcus Georges-Hunt,Georges-Hunt,1.726666641,15,3000,DEN@MIN,MIN,DEN,0,0
22644-66109,PF,Skal,Skal Labissiere,Labissiere,14.68965517,29,3200,CLE@SAC,SAC,CLE,0,0
22644-12349,PF,Luke,Luke Babbitt,Babbitt,11.57142857,28,3100,WAS@ATL,ATL,WAS,0,0
22644-12354,C,Cole,Cole Aldrich,Aldrich,1.949999968,6,3000,DEN@MIN,MIN,DEN,0,0
22644-23618,PG,Milton,Milton Doyle,Doyle,2,1,3000,BKN@NO,BKN,NO,0,0
22644-66114,PG,Antonio,Antonio Blakeney,Blakeney,10.04545455,11,3100,NY@CHI,CHI,NY,0,0
22644-12357,SF,Quincy,Quincy Pondexter,Pondexter,5.39444436,18,3000,NY@CHI,CHI,NY,0,0
22644-43081,PF,Vince,Vince Hunter,Hunter,2.900000095,4,3000,MEM@LAL,MEM,LAL,0,0
22644-12368,SF,Nemanja,Nemanja Bjelica,Bjelica,12.68947401,19,3300,DEN@MIN,MIN,DEN,0,0
22644-66129,C,Deyonta,Deyonta Davis,Davis,9.9095241,21,3000,MEM@LAL,MEM,LAL,0,0
22644-17491,SF,James,James Ennis III,Ennis III,13.94999981,32,3200,MEM@LAL,MEM,LAL,0,0
22644-58457,SF,Devin,Devin Robinson,Robinson,0,0,3000,WAS@ATL,WAS,ATL,0,0
22644-15964,PG,Lorenzo,Lorenzo Brown,Brown,3.912499905,8,3000,TOR@OKC,TOR,OKC,0,0
22644-23648,SF,Erik,Erik McCree,McCree,0,0,3000,UTA@GS,UTA,GS,0,0
22644-23655,PG,Marcus,Marcus Paige,Paige,2.400000095,1,3000,BOS@CHA,CHA,BOS,0,0
22644-68203,PF,Chris,Chris Boucher,Boucher,0,0,3000,UTA@GS,GS,UTA,0,0
22644-15469,PF,Quincy,Quincy Acy,Acy,11.44285692,28,3300,BKN@NO,BKN,NO,0,0
22644-23155,PG,Naz,Naz Mitrou-Long,Mitrou-Long,3,1,3000,UTA@GS,UTA,GS,0,0
22644-15994,C,Jack,Jack Cooley,Cooley,4.699999809,1,3000,CLE@SAC,SAC,CLE,0,0
22644-41082,C,Damian,Damian Jones,Jones,1.200000048,1,3000,UTA@GS,GS,UTA,0,0
22644-41083,PF,Luke,Luke Kornet,Kornet,0,0,3000,NY@CHI,NY,CHI,0,0
22644-23676,SG,Damyean,Damyean Dotson,Dotson,5.927777608,18,3300,NY@CHI,NY,CHI,0,0
22644-63124,PG,Emmanuel,Emmanuel Mudiay,Mudiay,16.93333333,30,3800,DEN@MIN,DEN,MIN,0,0
22644-63126,SF,Cedi,Cedi Osman,Osman,4.788461538,26,3000,CLE@SAC,CLE,SAC,0,0
22644-66203,SG,Malachi,Malachi Richardson,Richardson,6.379999797,15,3000,CLE@SAC,SAC,CLE,0,0
22644-66205,PF,Tyler,Tyler Lydon,Lydon,0,1,3000,DEN@MIN,DEN,MIN,0,0
22644-14501,C,Tristan,Tristan Thompson,Thompson,11.96428571,14,3500,CLE@SAC,CLE,SAC,0,0
22644-23717,SF,Shabazz,Shabazz Muhammad,Muhammad,7.32272755,22,3300,DEN@MIN,MIN,DEN,0,0
22644-70823,PF,Guerschon,Guerschon Yabusele,Yabusele,4,14,3000,BOS@CHA,BOS,CHA,0,0
22644-70822,SF,Juan,Juan Hernangomez,Hernangomez,7.59999982,17,3000,DEN@MIN,DEN,MIN,0,0
22644-70824,C,Ante,Ante Zizic,Zizic,3.645454407,11,3000,CLE@SAC,CLE,SAC,0,0
22644-70827,C,Ivica,Ivica Zubac,Zubac,1.133333365,6,3200,MEM@LAL,LAL,MEM,0,0
22644-42667,C,Dakari,Dakari Johnson,Johnson,6.866666667,15,3000,TOR@OKC,OKC,TOR,0,0
22644-70832,SF,Paul,Paul Zipser,Zipser,9.483333333,30,3300,NY@CHI,CHI,NY,0,0
22644-49336,SF,DeAndre',DeAndre' Bembry,Bembry,11.23333316,18,3500,WAS@ATL,ATL,WAS,0,0
22644-23740,PG,Ryan,Ryan Arcidiacono,Arcidiacono,1.5,1,3000,NY@CHI,CHI,NY,0,0
22644-42689,PG,Tyler,Tyler Ennis,Ennis,4.92142868,14,3000,MEM@LAL,LAL,MEM,0,0
22644-14532,SF,Kyle,Kyle Singler,Singler,3.700000048,4,3000,TOR@OKC,OKC,TOR,0,0
22644-49349,PG,Isaiah,Isaiah Taylor,Taylor,11.97307645,26,3700,WAS@ATL,ATL,WAS,0,0
22644-16071,PG,Tim,Tim Frazier,Frazier,12.74687481,32,3700,WAS@ATL,WAS,ATL,0,0
22644-22727,PG,Ron,Ron Baker,Baker,11.35999959,15,3300,NY@CHI,NY,CHI,0,0
22644-81606,PG,Jacob,Jacob Wiley,Wiley,3.866666794,6,3000,BKN@NO,BKN,NO,0,0
22644-9932,SG,Damien,Damien Wilkins,Wilkins,2.575000048,16,3000,DAL@IND,IND,DAL,0,0
22644-9935,C,Brandan,Brandan Wright,Wright,14.87368453,19,3600,MEM@LAL,MEM,LAL,0,0
22644-58576,PF,Kevon,Kevon Looney,Looney,8.670370596,27,3400,UTA@GS,GS,UTA,0,0
22644-9940,SF,Dante,Dante Cunningham,Cunningham,13.78437519,32,3300,BKN@NO,NO,BKN,0,0
22644-58584,PG,Gian,Gian Clavell,Clavell,5.271428789,7,3100,DAL@IND,DAL,IND,0,0
22644-15582,PG,Quinn,Quinn Cook,Cook,6.619999695,10,3100,UTA@GS,GS,UTA,0,0
22644-9953,C,Ian,Ian Mahinmi,Mahinmi,10.80312538,32,3400,WAS@ATL,WAS,ATL,0,0
22644-9962,PF,Jonas,Jonas Jerebko,Jerebko,14.00666707,30,3600,UTA@GS,UTA,GS,0,0
22644-9968,SG,Jodie,Jodie Meeks,Meeks,10.79411765,34,3100,WAS@ATL,WAS,ATL,0,0
22644-67312,C,Thomas,Thomas Bryant,Bryant,1,1,3000,MEM@LAL,LAL,MEM,0,0
22644-9465,PG,Raymond,Raymond Felton,Felton,13.51470588,34,3100,TOR@OKC,OKC,TOR,0,0
22644-23801,SG,Nik,Nik Stauskas,Stauskas,7.299999873,12,3400,BKN@NO,BKN,NO,0,0
22644-23300,SG,Charles,Charles Cooke,Cooke,1.583333333,6,3000,BKN@NO,NO,BKN,0,0
22644-9479,SF,Luol,Luol Deng,Deng,5.5,1,3000,MEM@LAL,LAL,MEM,0,0
22644-40200,C,Lucas,Lucas Nogueira,Nogueira,12.59999982,17,3300,TOR@OKC,TOR,OKC,0,0
22644-9483,C,Joakim,Joakim Noah,Noah,7.824999809,4,3000,NY@CHI,NY,CHI,0,0
22644-19726,SG,Abdel,Abdel Nader,Nader,4.329411675,17,3000,BOS@CHA,BOS,CHA,0,0
22644-40206,SG,Alex,Alex Abrines,Abrines,9.096875191,32,3300,TOR@OKC,OKC,TOR,0,0
22644-23826,PF,Alex,Alex Poythress,Poythress,2.489999962,10,3000,DAL@IND,IND,DAL,0,0
22644-55058,SF,Bruno,Bruno Caboclo,Caboclo,2.849999905,2,3000,TOR@OKC,TOR,OKC,0,0
22644-58134,SF,Justin,Justin Jackson,Jackson,8.934782609,23,3000,CLE@SAC,SAC,CLE,0,0
22644-23831,PF,Jerami,Jerami Grant,Grant,16.86666593,33,3700,TOR@OKC,OKC,TOR,0,0
22644-58658,SG,Patrick,Patrick McCaw,McCaw,10.13333333,30,3600,UTA@GS,GS,UTA,0,0
22644-20277,SF,Torrey,Torrey Craig,Craig,13.21428571,7,3700,DEN@MIN,DEN,MIN,0,0
22644-41275,PF,Mike,Mike Young,Young,0,0,3000,WAS@ATL,WAS,ATL,0,0
22644-16188,SF,Anthony,Anthony Brown,Brown,9.690908952,11,3000,DEN@MIN,MIN,DEN,0,0
22644-9534,PG,Aaron,Aaron Brooks,Brooks,3.836363706,11,3000,DEN@MIN,MIN,DEN,0,0
22644-16191,SF,Josh,Josh Huestis,Huestis,7.285714286,28,3000,TOR@OKC,OKC,TOR,0,0
22644-20806,SG,Treveon,Treveon Graham,Graham,10.60999985,20,3000,BOS@CHA,CHA,BOS,0,0
22644-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,13.55000028,22,3300,BOS@CHA,CHA,BOS,0,0
22644-60233,SF,Dillon,Dillon Brooks,Brooks,15.57941212,34,3800,MEM@LAL,MEM,LAL,0,0
22644-40267,PG,London,London Perrantes,Perrantes,0,1,3000,CLE@SAC,CLE,SAC,0,0
22644-18256,SF,Doug,Doug McDermott,McDermott,14.11818163,33,3500,NY@CHI,NY,CHI,0,0
22644-17747,PG,Ian,Ian Clark,Clark,9.514814589,27,3000,BKN@NO,NO,BKN,0,0
22644-9580,PF,Darrell,Darrell Arthur,Arthur,3.375,4,3000,DEN@MIN,DEN,MIN,0,0
22644-15727,SG,Ben,Ben McLemore,McLemore,11.7523811,21,3200,MEM@LAL,MEM,LAL,0,0
22644-40819,PF,Jarell,Jarell Martin,Martin,12.12812519,32,4100,MEM@LAL,MEM,LAL,0,0
22644-66424,C,Justin,Justin Patton,Patton,0,0,3000,DEN@MIN,MIN,DEN,0,0
22644-18811,PF,Malcolm,Malcolm Miller,Miller,0,2,3000,TOR@OKC,TOR,OKC,0,0
22644-9601,C,Andrew,Andrew Bogut,Bogut,8.121052792,19,3000,MEM@LAL,LAL,MEM,0,0
22644-9605,PG,Ramon,Ramon Sessions,Sessions,10.42727245,11,3100,NY@CHI,NY,CHI,0,0
22644-20357,SF,Jalen,Jalen Jones,Jones,2.150000095,4,3000,BKN@NO,NO,BKN,0,0
22644-18828,PG,Joe,Joe Young,Young,4.077777863,18,3000,DAL@IND,IND,DAL,0,0
22644-15762,SF,Darius,Darius Miller,Miller,12.42727291,33,3300,BKN@NO,NO,BKN,0,0
22644-9629,PF,David,David West,West,17.61874962,32,3500,UTA@GS,GS,UTA,0,0
22644-18338,SF,Royce,Royce O'Neale,O'Neale,7.762500127,24,3000,UTA@GS,UTA,GS,0,0
22644-16293,SG,Norman,Norman Powell,Powell,14.89285714,28,3500,TOR@OKC,TOR,OKC,0,0
22644-23981,SG,Alex,Alex Caruso,Caruso,2.799999873,6,3000,MEM@LAL,LAL,MEM,0,0
22644-9647,SF,Thabo,Thabo Sefolosha,Sefolosha,17.91250038,32,3500,UTA@GS,UTA,GS,0,0
22644-15792,PF,Johnny,Johnny O'Bryant III,O'Bryant III,10.12105279,19,3000,BOS@CHA,CHA,BOS,0,0
22644-58800,SF,Daniel,Daniel Hamilton,Hamilton,0,1,3000,TOR@OKC,OKC,TOR,0,0
22644-9649,C,Nick,Nick Collison,Collison,3.928571429,7,3000,TOR@OKC,OKC,TOR,0,0
22644-58289,PG,Kadeem,Kadeem Allen,Allen,1.466666698,3,3000,BOS@CHA,BOS,CHA,0,0
22644-80816,SG,Malik,Malik Monk,Monk,9.789654962,29,3000,BOS@CHA,CHA,BOS,0,0
22644-74163,PG,Josh,Josh Magette,Magette,6.212500095,8,3000,WAS@ATL,ATL,WAS,0,0
22644-80818,PF,TJ,TJ Leaf,Leaf,6.044444331,27,3000,DAL@IND,IND,DAL,0,0
22644-80821,C,Jarrett,Jarrett Allen,Allen,14.69999949,24,3400,BKN@NO,BKN,NO,0,0
22644-80820,SG,Terrance,Terrance Ferguson,Ferguson,2.545000076,20,3000,TOR@OKC,OKC,TOR,0,0
22644-15798,SG,Vander,Vander Blue,Blue,0.233333329,3,3000,MEM@LAL,LAL,MEM,0,0
22644-80823,C,Tony,Tony Bradley,Bradley,2.837500095,8,3000,UTA@GS,UTA,GS,0,0
22644-48570,PF,Isaiah,Isaiah Hicks,Hicks,0,0,3000,NY@CHI,NY,CHI,0,0
22644-80826,C,Ike,Ike Anigbogu,Anigbogu,2.133333365,6,3000,DAL@IND,IND,DAL,0,0
22644-40396,PG,Monte,Monte Morris,Morris,1.5,1,3000,DEN@MIN,DEN,MIN,0,0
22644-9678,C,Channing,Channing Frye,Frye,9.466666667,30,3300,CLE@SAC,CLE,SAC,0,0
22644-67025,PF,Ivan,Ivan Rabb,Rabb,1.566666603,3,3000,MEM@LAL,MEM,LAL,0,0
22644-15834,PG,Shane,Shane Larkin,Larkin,7.538461538,26,3300,BOS@CHA,BOS,CHA,0,0
22644-16859,SF,Lance,Lance Thomas,Thomas,8.746666463,30,3300,NY@CHI,NY,CHI,0,0
22644-34779,PF,Mangok,Mangok Mathiang,Mathiang,2.399999936,3,3000,BOS@CHA,CHA,BOS,0,0
22644-67556,PG,Tyler,Tyler Dorsey,Dorsey,3.709999847,10,3000,WAS@ATL,ATL,WAS,0,0
22644-9706,SF,Richard,Richard Jefferson,Jefferson,2.788888931,9,3000,DEN@MIN,DEN,MIN,0,0
22644-16363,SF,Joe,Joe Harris,Harris,16.48709697,31,3800,BKN@NO,BKN,NO,0,0
22644-9715,SG,Marco,Marco Belinelli,Belinelli,19.54545455,33,3600,WAS@ATL,ATL,WAS,0,0
22644-63478,C,Cristiano,Cristiano Felicio,Felicio,8.452173648,23,3000,NY@CHI,CHI,NY,0,0
22644-9725,SF,CJ,CJ Miles,Miles,15.55199951,25,3700,TOR@OKC,TOR,OKC,0,0
22644-66048,SF,Brandon,Brandon Ingram,Ingram,30.15666707,30,6100,MEM@LAL,LAL,MEM,GTD,Quadriceps
22644-67026,SF,Jaylen,Jaylen Brown,Brown,26.12352977,34,5300,BOS@CHA,BOS,CHA,GTD,Knee
22644-15758,SF,Michael,Michael Kidd-Gilchrist,Kidd-Gilchrist,21.68518519,27,4100,BOS@CHA,CHA,BOS,GTD,Illness
22644-9664,SF,Andre,Andre Iguodala,Iguodala,18.64482801,29,4200,UTA@GS,GS,UTA,GTD,Back
22644-17894,C,Mike,Mike Muscala,Muscala,16.5,9,3000,WAS@ATL,ATL,WAS,GTD,Ankle
22644-9654,SF,Vince,Vince Carter,Carter,9.265000153,20,3100,CLE@SAC,SAC,CLE,GTD,Ribs
22644-48598,SF,Semi,Semi Ojeleye,Ojeleye,6.034285627,35,3200,BOS@CHA,BOS,CHA,GTD,Back